id,name,bio,house,guess
0,Regulus Arcturus Black,Brother of Sirius. Used to be a Death Eater but defected.,s,
1,Sirius Black,Best friend of James Potter and godfather of Harry.,g,
2,Lavender Brown,Killed by a werewolf. She was a gryffindor student who dated Ron. ,g,
3,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,r,
4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,s,
5,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,s,
6,"Bartemius ""Barty"" Crouch Sr.",Head of the department of Internation Magical Cooperation. Killed by his son.,n,s
7,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,s,
8,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,n,o
9,Cedric Diggory,Participated in the Triwizard tournament and got killed by Voldemort.,h,
10,Alberforth Dumbledore,Albus' brother and owner of Hog's Head.,g,
11,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,g,
12,Dudley Dursley,Muggle son of Vernon and Petunia and first-cousin of Harry.,m,
13,Petunia Dursley,Harry's aunt and sister of Lily.,m,
14,Vernon Dursley,Harry's muggle uncle.,m,
15,Argus Filch,Squib caretake of Hogwards.,n,
16,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,g,
17,Nicolas Flamel,Creator of the Philosopher's Stone.,n,o
18,Cornelius Fudge,Minister of Magic that was forced to resign.,n,sh
19,Goyle Sr.,Death Eater and father of Gregory Goyle.,s,
20,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,s,
21,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,g,
22,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,g,
23,Igor Karkaroff,Highmaster of Durmstrang and reformed death-eater.,n,o
24,Viktor Krum,Participant in the Triwizard tournament. Dated Hermione.,n,o
25,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,s,
26,Alice Longbottom,Mother of Neville who was tortured by Bellatrix.,g,
27,Frank Longbottom,Father of Neville who was tortured by Bellatrix.,g,
28,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.,g,
29,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.,r,
30,Xenophilius Lovegood,Father of Luna and editor of The Quibbler.,r,
31,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,g,
32,Draco Malfoy,Slytherin student who had many arguments with Harry.,s,
33,Lucius Malfoy,Father of Draco and influential Death-Eater.,s,
34,Narcissa Malfoy,Mother of Draco and sister of Bellatrix.,s,
35,Olympe Maxime,Half-giantess and headmistress of Beauxbatons.,n,o
36,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,g,
37,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,n,h
38,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,g,
39,Harry Potter,The boy who lived. Main character of the series.,g,
40,James Potter,Father of Harry. Murdered by Voldemort.,g,
41,Lily Potter,Mother of Harry. Murdered by Voldemort.,g,
42,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.,r,
43,Tom Riddle Sr.,Muggle father of Voldemort who was killed by him.,m,
44,Mary Riddle,Muggle mother of Voldemort who was killed by him.,m,
45,Lord Voldemort,The antagonist of the series who murdered many.,s,
46,Rita Skeeter,Reporter at the Daily Prophet.,n,s
47,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,s,
48,Nymphadora Tonks,Married Remus Lupin and was killed by Bellatrix.,h,
49,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,n,r
50,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,g,
51,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,g,
52,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,g,
53,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes,g,
54,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,g,
55,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.,g,
56,Molly Weasley,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.,g,
57,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.,g,
58,Ron Weasley,Harry's best friend. Marries Hermione.,g,
59,Dobby,House elf and friend of Harry. He is killed by Bellatrix.,n,
60,Fluffy,Three-headed dog belonging to Rubeus Hagrid.,n,
61,Hedwig,Harry's owl.,n,
62,Moaning Myrtle,Ghost at Hogwards.,r,
63,Aragog,Acromantula belonging to Rubeus Hagrid.,n,
64,Grawp,Giant-half brother of Hagrid.,n,
